com.samsung.sec.android.application.csc;Samsung CSC;Background Processes and Services
com.samsung.shareshot;Samsung Shareshot;Photography
com.sec.allsharecastplayer;Samsung AllShare Cast Player (Screen Mirroring);Tools
com.sec.android.AutoPreconfig;Samsung Auto Preconfig;Background Processes and Services
com.sec.android.Kies;Samsung Kies;Background Processes and Services
com.sec.android.Preconfig;Samsung Preconfig;Background Processes and Services
com.sec.android.RilServiceModeApp;Samsung RilServiceModeApp;Background Processes and Services
com.sec.android.allshare.service.controlshare;Samsung Control Share;Storage, Backups and Transfers
com.sec.android.allshare.service.fileshare;Samsung File Share;Storage, Backups and Transfers
com.sec.android.allshare.service.mediashare;Samsung Media Share;Storage, Backups and Transfers
com.sec.android.app.DataCreate;Samsung Data Create;Background Processes and Services
com.sec.android.app.FileShareClient;Samsung File Client;Storage, Backups and Transfers
com.sec.android.app.FileShareServer;Samsung File Server;Storage, Backups and Transfers
com.sec.android.app.FlashBarService;Samsung Flash Bar Service;Background Processes and Services
com.sec.android.app.SamsungContentsAgent;Samsung Contents Agent;Background Processes and Services
com.sec.android.app.SecSetupWizard;Samsung Setup Wizard;Background Processes and Services
com.sec.android.app.billing;Samsung Billing;Background Processes and Services
com.sec.android.app.bluetoothtest;Samsung Bluetooth Test;Background Processes and Services
com.sec.android.app.camera;Samsung Camera;Photography
com.sec.android.app.chromecustomizations;Samsung Chrome Customisations;Background Processes and Services
com.sec.android.app.clockpackage;Samsung Clock;Tools
com.sec.android.app.controlpanel;Samsung Control Panel;Background Processes and Services
com.sec.android.app.easylauncher;Samsung Easy Launcher;Background Processes and Services
com.sec.android.app.factorykeystring;Samsung Factory Key String;Background Processes and Services
com.sec.android.app.gamehub;Samsung Game Hub;Gaming
com.sec.android.app.hwmoduletest;Samsung HW module Test;Background Processes and Services
com.sec.android.app.launcher;Samsung App Launcher;Background Processes and Services
com.sec.android.app.lcdtest;Samsung LCD Test;Background Processes and Services
com.sec.android.app.mediasync;Samsung Media Sync process;Storage, Backups and Transfers
com.sec.android.app.minimode.res;Samsung Mini Mode;Background Processes and Services
com.sec.android.app.mobileprint;Samsung Mobile Print;Office
com.sec.android.app.mt;Samsung Mobile Tracker;Tools
com.sec.android.app.music;Samsung Music;Listening
com.sec.android.app.myfiles;Samsung My Files;Tools
com.sec.android.app.parser;Samsung Parser;Background Processes and Services
com.sec.android.app.personalization;Samsung Personalization;Background Processes and Services
com.sec.android.app.popupcalculator;Samsung Pop Up Calculator;Office
com.sec.android.app.popupuireceiver;Samsung Pop Up UI Receiver;Background Processes and Services
com.sec.android.app.ringtoneBR;Samsung Ringtone;Background Processes and Services
com.sec.android.app.safetyassurance;Samsung Safety Assurance;Security
com.sec.android.app.samsungapps;Samsung Apps;Background Processes and Services
com.sec.android.app.samsungapps.una2;Samsung Apps UNA2;Background Processes and Services
com.sec.android.app.sbrowser;Samsung Internet for Android;Browsers
com.sec.android.app.selftestmode;Samsung Self Test Mode;Background Processes and Services
com.sec.android.app.servicemodeapp;Samsung Service Mode;Background Processes and Services
com.sec.android.app.shealth;S Health;Health and Fitness
com.sec.android.app.sns3;Samsung SNS3;Background Processes and Services
com.sec.android.app.snsimagecache;Samsung SNS Image Cache;Background Processes and Services
com.sec.android.app.sysscope;Samsung SYS Scope;Background Processes and Services
com.sec.android.app.videoplayer;Samsung Video Player;Watching
com.sec.android.app.voicerecorder;Samsung Voice Recorder;Office
com.sec.android.app.wallpaperchooser;Samsung Wallpaper Chooser;Background Processes and Services
com.sec.android.app.wfdbroker;Samsung WFD Broker;Background Processes and Services
com.sec.android.app.wlantest;Samsung WLAN Test;Background Processes and Services
com.sec.android.band;Samsung Band;Background Processes and Services
com.sec.android.cloudagent;Samsung Cloud Agent;Storage, Backups and Transfers
com.sec.android.cloudagent.dropboxoobe;Samsung Cloud Agent dropboxoobe;Storage, Backups and Transfers
com.sec.android.daemonapp;Samsung Daemon App;Background Processes and Services
com.sec.android.diagmonagent;Samsung Diagmon Agent;Background Processes and Services
com.sec.android.directconnect;Samsung Direct Connect;Background Processes and Services
com.sec.android.directshare;Samsung Direct Share;Storage, Backups and Transfers
com.sec.android.drmpopup;Samsung DRM Pop Up;Background Processes and Services
com.sec.android.easysettings;Samsung Easy Settings;Settings
com.sec.android.fotaclient;Samsung Fota Client;Background Processes and Services
com.sec.android.fwupgrade;Samsung FW Upgrade;Background Processes and Services
com.sec.android.gallery3d;Samsung 3D Gallery;Photography
com.sec.android.iap;Samsung IAP;Background Processes and Services
com.sec.android.inputmethod;Samsung Input Method;Background Processes and Services
com.sec.android.mimage.photoretouching;Samsung Photo Re-touching;Photography
com.sec.android.mmapp;Samsung MMAP;Background Processes and Services
com.sec.android.motions.settings.panningtutorial;Samsung Panning Tutorial;Background Processes and Services
com.sec.android.nearby.mediaserver;Samsung Media Server;Storage, Backups and Transfers
com.sec.android.omc;Samsung OMC;Background Processes and Services
